transaction_id,timestamp,user_id,amount,merchant_id,country,transaction_type,device_type,previous_transactions,days_since_signup
T001,2024-01-15 08:30:00,U001,150.50,M001,US,purchase,mobile,5,30
T002,2024-01-15 08:45:00,U002,45.99,M002,US,purchase,desktop,12,120
T003,2024-01-15 09:00:00,U003,2500.00,M003,US,transfer,mobile,3,7
T004,2024-01-15 09:15:00,U004,89.99,M004,UK,purchase,tablet,25,365
T005,2024-01-15 09:30:00,U005,12.50,M005,US,purchase,mobile,8,45
T006,2024-01-15 09:45:00,U001,5000.00,M006,NG,transfer,mobile,5,30
T007,2024-01-15 10:00:00,U006,34.25,M002,US,purchase,desktop,18,200
T008,2024-01-15 10:15:00,U007,99.99,M007,US,purchase,mobile,2,5
T009,2024-01-15 10:30:00,U008,500.00,M008,CN,purchase,tablet,30,500
T010,2024-01-15 10:45:00,U009,15.75,M001,US,purchase,mobile,10,60
T011,2024-01-15 11:00:00,U010,8000.00,M009,RU,transfer,desktop,1,2
T012,2024-01-15 11:15:00,U002,250.00,M003,US,purchase,mobile,12,120
T013,2024-01-15 11:30:00,U011,199.99,M010,US,purchase,tablet,5,35
T014,2024-01-15 11:45:00,U001,3000.00,M011,IN,transfer,mobile,5,30
T015,2024-01-15 12:00:00,U012,67.50,M002,US,purchase,desktop,22,300
T016,2024-01-15 12:15:00,U013,1500.00,M012,BR,purchase,mobile,4,15
T017,2024-01-15 12:30:00,U014,45.00,M001,US,purchase,mobile,9,50
T018,2024-01-15 12:45:00,U015,12000.00,M013,TH,transfer,desktop,0,1
T019,2024-01-15 13:00:00,U016,89.99,M004,US,purchase,tablet,15,180
T020,2024-01-15 13:15:00,U017,55.00,M005,US,purchase,mobile,7,70
T021,2024-01-15 13:30:00,U003,2200.00,M014,PK,transfer,mobile,3,7
T022,2024-01-15 13:45:00,U018,120.00,M006,US,purchase,desktop,20,250
T023,2024-01-15 14:00:00,U019,6500.00,M015,ZA,transfer,tablet,2,8
T024,2024-01-15 14:15:00,U020,34.75,M002,US,purchase,mobile,11,90
T025,2024-01-15 14:30:00,U021,78.00,M007,US,purchase,desktop,8,100
T026,2024-01-15 14:45:00,U022,4000.00,M016,MX,transfer,mobile,1,3
T027,2024-01-15 15:00:00,U023,199.50,M008,US,purchase,tablet,18,280
T028,2024-01-15 15:15:00,U024,9500.00,M017,NG,transfer,mobile,0,1
T029,2024-01-15 15:30:00,U025,56.25,M001,US,purchase,desktop,6,60
T030,2024-01-15 15:45:00,U026,250.00,M003,US,purchase,mobile,13,130
